Incident ID,Incident Number,Incident Category
1,180971868,Motor Vehicle Theft
1,180903968,Other Offenses
1,180973739,Recovered Vehicle
1,180933705,Fraud
1,180942358,Larceny Theft
2,180958521,Larceny Theft
1,180944229,Larceny Theft
1,190007908,Courtesy Report
1,100880374,Miscellaneous Investigation
1,180950840,Weapons Offense
1,180933266,Non-Criminal
1,180952040,Assault
1,180917561,Weapons Carrying Etc
1,186291254,Larceny Theft
1,186300849,Larceny Theft
1,190036468,Larceny Theft
1,180911535,Sex Offense
1,180947580,Disorderly Conduct
1,180910844,Drug Offense
1,180984598,Assault
2,180930400,Assault
2,180940829,Robbery
1,180971084,Larceny Theft
1,180973347,Suspicious Occ
1,180963928,Larceny Theft
1,186302083,Larceny Theft
1,186302146,Malicious Mischief
1,186278149,Larceny Theft
1,186300582,Malicious Mischief
1,186287281,Larceny Theft
1,180910719,Disorderly Conduct
1,180912248,Motor Vehicle Theft
1,180919777,Assault
1,186286261,Larceny Theft
1,180954585,Larceny Theft
1,180923778,Recovered Vehicle
1,180930278,Miscellaneous Investigation
1,180913713,Burglary
1,180941037,Assault
1,170688590,Warrant
1,180949138,Warrant
1,186284522,Larceny Theft
1,180955113,Recovered Vehicle
1,186288041,Malicious Mischief
1,180953991,Larceny Theft
1,180954488,Other Miscellaneous
1,180928499,Offences Against The Family And Children
1,180917185,Non-Criminal
1,180930002,Recovered Vehicle
1,186290808,Larceny Theft
1,180909762,Offences Against The Family And Children
1,180929691,Larceny Theft
1,180902142,Missing Person
1,180968304,Larceny Theft
1,180977242,Larceny Theft
1,180954604,Missing Person
1,186276949,Larceny Theft
1,180930143,Other Miscellaneous
2,180965617,Larceny Theft
1,180963978,Disorderly Conduct
1,180968542,Other Miscellaneous
1,190002986,Larceny Theft
2,180939264,Other Miscellaneous
1,196001037,Larceny Theft
1,196002063,Larceny Theft
2,186278923,Larceny Theft
1,180983437,Other Miscellaneous
1,196003362,Larceny Theft
1,186277135,Larceny Theft
1,180905168,Missing Person
2,180941344,Other Miscellaneous
1,186290444,Larceny Theft
1,186276773,Larceny Theft
1,180920990,Civil Sidewalks
1,180965974,Larceny Theft
1,180947314,Motor Vehicle Theft
1,186286506,Larceny Theft
1,180973290,Larceny Theft
1,180961483,Assault
1,180963934,Motor Vehicle Theft
1,180982592,Warrant
1,180982467,Other Miscellaneous
1,180962265,Non-Criminal
1,186290121,Lost Property
1,180972866,Malicious Mischief
1,180942988,Other Miscellaneous
1,180912436,Larceny Theft
1,180911541,Assault
1,180906746,Recovered Vehicle
1,180971454,Non-Criminal
1,180932149,Motor Vehicle Theft
1,180979618,Larceny Theft
1,180926631,Larceny Theft
