Incident Date,Incident ID,Incident Category
2018/12/29,18,Lost Property
2018/12/25,7,Missing Person
2018/12/21,1,Case Closure
2018/12/14,19,Non-Criminal
2018/12/27,17,Burglary
2018/12/22,18,Malicious Mischief
2018/12/20,1,Embezzlement
2018/12/24,3,Forgery And Counterfeiting
2018/12/13,14,Motor Vehicle Theft
2018/12/03,16,Robbery
2018/12/21,16,Warrant
2018/12/02,14,Lost Property
2018/12/03,3,Homicide
2018/12/26,1,Arson
2018/12/15,2,Forgery And Counterfeiting
2018/12/30,2,Fire Report
2018/12/05,12,Disorderly Conduct
2018/12/02,3,Prostitution
2018/12/19,13,Motor Vehicle Theft
2018/12/17,2,Drug Offense
2018/12/18,25,Burglary
2018/12/30,4,Fraud
2018/12/10,1,Traffic Collision
2018/12/26,11,Offences Against The Family And Children
2018/12/31,17,Fraud
2018/12/15,1,Vandalism
2018/12/14,22,Other Miscellaneous
2018/12/20,9,Missing Person
2018/12/02,3,Miscellaneous Investigation
2018/12/22,21,Assault
2018/12/24,1,Vandalism
2018/12/23,3,Civil Sidewalks
2018/12/25,1,Vandalism
2018/12/08,17,Motor Vehicle Theft
2018/12/04,18,Recovered Vehicle
2018/12/09,1,Family Offense
2018/12/11,1,Juvenile Offenses
2018/12/01,2,Weapons Offense
2018/12/09,1,Fire Report
2018/12/05,18,Warrant
2018/12/10,1,Suspicious
2018/12/11,16,Drug Offense
2018/12/10,3,Weapons Offense
2018/12/03,2,Weapons Carrying Etc
2018/12/15,15,Offences Against The Family And Children
2018/12/07,140,Larceny Theft
2018/12/03,9,Suspicious Occ
2018/12/13,4,Traffic Violation Arrest
2018/12/18,14,Missing Person
2018/12/21,2,Disorderly Conduct
2018/12/25,5,Offences Against The Family And Children
2018/12/24,8,Offences Against The Family And Children
2018/12/04,1,Suicide
2018/12/19,8,Traffic Violation Arrest
2018/12/20,26,Burglary
2018/12/28,3,Drug Offense
2018/12/30,2,Family Offense
2018/12/14,1,Courtesy Report
2018/12/27,12,Missing Person
2018/12/17,1,Juvenile Offenses
2018/12/05,3,Stolen Property
2018/12/29,1,Other Offenses
2018/12/08,3,Traffic Violation Arrest
2018/12/18,1,Embezzlement
2018/12/26,1,Forgery And Counterfeiting
2018/12/06,5,Civil Sidewalks
2018/12/15,1,Arson
2018/12/09,7,Fraud
2018/12/07,1,Weapons Carrying Etc
2018/12/03,108,Larceny Theft
2018/12/13,16,Warrant
2018/12/11,11,Fraud
2018/12/02,5,Other Offenses
2018/12/07,9,Suspicious Occ
2018/12/26,6,Missing Person
2018/12/19,1,Case Closure
2018/12/18,1,Vandalism
2018/12/05,4,Traffic Violation Arrest
2018/12/15,19,Burglary
2018/12/19,25,Warrant
2018/12/13,1,Case Closure
2018/12/25,16,Burglary
2018/12/27,2,Forgery And Counterfeiting
2018/12/31,1,Juvenile Offenses
2018/12/24,21,Burglary
2018/12/02,2,Other
2018/12/08,3,Stolen Property
2018/12/20,16,Offences Against The Family And Children
2018/12/21,12,Motor Vehicle Theft
2018/12/01,1,Liquor Laws
2018/12/17,1,Family Offense
2018/12/28,12,Fraud
2018/12/06,3,Weapons Offense
2018/12/08,1,Case Closure
2018/12/27,1,Vandalism
2018/12/29,1,Gambling
2018/12/19,1,Stolen Property
2018/12/09,19,Drug Offense
2018/12/08,5,Warrant
2018/12/22,1,Courtesy Report
2018/12/18,2,Forgery And Counterfeiting
2018/12/01,7,Recovered Vehicle
2018/12/22,10,Burglary
2018/12/27,22,Malicious Mischief
2018/12/02,8,Suspicious Occ
2018/12/28,3,Disorderly Conduct
2018/12/04,1,Weapons Offense
2018/12/17,1,Case Closure
2018/12/18,28,Assault
2018/12/19,1,Family Offense
2018/12/21,12,Drug Offense
2018/12/17,14,Warrant
2018/12/26,33,Other Miscellaneous
2018/12/07,2,Other
2018/12/11,5,Disorderly Conduct
